customer id,city,card type,visit frequency,avg check,monthly spend,preferred drink,dessert frequency,morning visits,bonus balance,bonus usage rate,churn risk
383,SPb,platinum,6.062880860174355,398.1512135611362,9655.77348862002,tea,0.0,0.6443120771594768,16.769583676059206,0.3746829649718926,0.3217398859897654
415,SPb,silver,3.2531652380379814,365.8033066178228,4760.074404193801,espresso,0.0,0.6296747940729553,280.52963413437385,0.3184447214741971,0.12610427486110462
31,SPb,basic,2.343489288547267,429.9033640683962,4029.8957152188896,latte,0.5935156415296685,0.8011472327114246,425.4694356559957,0.7926035994669575,0.07208869253365724
735,SPb,basic,3.276985097368703,378.67004986815743,4963.584440951262,tea,0.9674825259797517,0.15248015424545075,271.1370254719584,0.6805048625722124,0.20803468689314414
219,SPb,silver,3.8584511166566653,365.70377597446577,5644.200571096946,tea,1.208910737578513,0.4540469135895175,259.80200315557425,0.655360508045524,0.37974213773715537
796,Novosibirsk,basic,4.064053024841843,142.1561917902562,2310.9212049807516,espresso,0.4328180004774252,0.4503784809198532,160.03211375588927,0.9481406525689676,0.44515056682369863
566,SPb,silver,4.848608833296412,343.57086649655315,6663.362952633959,latte,0.577483716983606,0.04297960159170993,711.200333887894,0.8489241481244494,0.41216057263286215
663,SPb,platinum,4.2128364314157505,501.50068741829847,8450.961465343402,latte,0.5551421711582232,0.6232104300794955,650.8067843983545,0.05977490151501877,0.24588324669104208
822,Moscow,basic,4.229895430021962,290.36213282847035,4912.805834810307,cappuccino,0.0,0.8822219274136124,79.42203378416718,0.4161887176410698,0.5782683494357812
34,Novosibirsk,basic,3.4416171781154588,361.61917579918395,4978.219069465702,tea,0.5797679215706297,0.07013885086560276,90.37855166176243,0.7331332518294659,0.18926439069153445
147,SPb,gold,4.16524448360183,515.240081795541,8584.403633717731,cappuccino,0.15503416502633238,0.3505306537432942,598.990351637755,0.414573053917409,0.2523408852216541
315,Kazan,silver,3.463206292099123,433.491461579149,6005.081429248617,tea,0.875954442525395,0.6871093018202534,67.64546563370769,0.8852269881944932,0.24099201612500917
