insulation_resistance,capacitance_imbalance,cable_lot_assignment
3745.958629080626,1.6039550495970745,1
6446.631845417543,2.7417940323084844,0
2156.124547187059,0.5674338316134571,0
4015.9266694136672,1.0730526033801395,1
3152.613059857193,1.8331790699214898,0
3717.8134374777233,1.0059738562193856,1
3964.2306234341727,3.040576117668821,0
3735.7621924697382,1.327441798277432,1
3959.777946855067,1.188635357019681,1
3952.865758852089,1.4012213873296322,1
4725.8249862782395,1.8532037739886882,0
4479.275301534772,1.5246628313708475,0
4090.7221921270493,1.1589010377256044,1
3327.5250148695163,2.7865432081299057,0
3531.266495302362,1.1395386016402453,1
3617.1729042041693,1.1081644898238374,1
3576.719294400057,1.416544800520322,1
3449.4457452683187,1.0871347143970447,1
5028.341531155961,1.1634287816436828,0
3827.6980221318986,1.3545870878436086,1
3826.3973104589686,1.4233669662492434,1
3725.4640738154967,1.432353022724278,1
3574.553951797117,0.9941301678173848,1
5260.2943606847575,2.0990360533101793,0
3318.123653836294,2.142562192859543,0
1811.5303501127646,1.2358909534526679,0
3610.4149619946943,1.1028687291547261,1
3079.0712030163986,0.7403999251710212,0
4031.3580272737695,0.9889777485753692,1
6449.962197714992,2.880270469790532,0
4088.212163685624,2.3969415725855536,0
3520.2919030978173,1.311750796931592,1
3976.4751060893273,1.1154078767912634,1
3189.1003510954533,3.13982194770675,0
3695.600612859663,1.6361041301355737,0
3564.7920682614968,1.5174460757306023,0
3090.2957104308925,1.1798581256720544,1
3774.1438862851905,1.2694777192901376,1
3825.6961067237985,1.4694541234390446,1
3684.558950034968,1.2719162277129095,1
6336.992484904379,2.248590002886907,0
3752.4148538186564,1.1262545721551929,1
3696.5405634764406,1.096540833890374,1
4126.978928113481,1.2588931513011734,0
3806.016715379613,1.2059170572361109,1
2975.8811225192894,1.365406681224219,0
3424.4269625408942,1.3022039265664422,1
4790.265462631501,1.9306263862094508,0
4759.106640923753,1.5484955364490585,0
3572.964950588172,1.1778329521773792,1
3312.798313725316,2.2104548131285653,0
3212.6997983420765,3.0782067994828552,0
4094.529514390546,1.3478174528422828,1
4393.426104810743,1.2720069049864495,0
4267.862436355699,1.1393403865224059,1
4952.432100380253,1.7434983939239925,0
3824.2183976268993,1.3604657182475774,1
4400.142299559677,0.6028821251403622,0
3499.9903589005885,1.1904713138076968,1
848.4876616451761,2.418831777452735,0
6295.090512365427,2.0834871976726688,0
4176.034147393251,1.4438938373043095,1
6134.61970817728,2.5068719625398437,0
3718.009215320936,1.168168654514827,1
2556.2514008944227,3.0265893103965356,0
3013.1275399801925,1.9052756505333455,0
2765.781444518474,3.6426674453861736,0
3615.21943018249,1.2555091672903433,1
3816.6363278625317,1.4019338634304122,1
3972.222517347033,1.2769518245965237,0
5463.865326003819,1.7640243934880597,0
3780.5205776917464,1.1983361994077097,1
3386.90163889672,1.2545447823937452,1
3382.571095490757,1.3426695371984017,0
3866.4810630136153,1.2632379915921683,1
3045.030950162536,1.2328232940899335,0
3568.858246558237,1.4028304018300717,1
4134.712837963333,1.1518135850823132,1
4183.152120984565,0.562092444106004,0
3867.620154310303,1.0392214150439767,1
4830.34928863794,0.9998965610886617,0
5216.381911091699,2.690088566495911,0
4615.208911945609,1.7490197611401892,0
4233.862396499522,2.7744016004412195,0
5329.341561612532,3.5078266844374912,0
6165.11677780135,2.5100590455126914,0
3405.956665861305,1.2731340445630077,1
3662.419884932032,1.1509955680220454,1
3811.049581822668,1.3651984436603644,1
3862.6125231340347,0.9745379547360273,1
5555.620932639346,1.3731519669764325,0
3797.244682338046,1.2377210413410769,1
4417.764380085355,2.0953445279646994,0
3597.1433482209995,1.373085110138362,1
3617.845381062754,1.2904781146623514,1
4536.810890558311,1.4053928130372177,0
4381.625311816618,0.8503927367636166,0
3649.3689432337924,1.120755443000553,1
5070.121759150489,1.8513225770318829,0
3715.021498653791,1.2582468008135175,1
4597.963785820852,1.3255992411735258,0
3817.3168974521313,0.9696641815189341,1
3682.5963741221567,2.47486101780185,0
3653.275960459504,0.955429013442729,1
5348.801927535269,1.442988520801677,0
3893.788873508696,1.2829560128778537,1
3548.0311848310457,1.1191315945276532,1
2732.913828704482,2.3509592226197165,0
3462.020384994441,1.2116220777778293,1
3255.9970614878994,1.3595911481341283,1
3583.5484993473838,2.0969161624813415,0
